1,E_1,A
2,E_1,agA
3,E_2,A
4,E_2,agA
5,F_1,Bb
6,F_1,agBb
7,F_2,Bb
8,F_2,agBb
9,G_1,C
10,G_1,agC
11,G_2,C
12,G_2,agC
13,A_1,D
14,A_1,agD
15,A_2,D
16,A_2,agD
17,C_1,F
18,C_1,agF
19,C_2,F
20,C_2,agF
21,E7_1,A
22,E7_1,agA
23,E7_2,A
24,E7_2,agA
25,F7_1,Bb
26,F7_1,agBb
27,F7_2,Bb
28,F7_2,agBb
29,G7_1,C
30,G7_1,agC
31,G7_2,C
32,G7_2,agC
33,A7_1,D
34,A7_1,agD
35,A7_2,D
36,A7_2,agD
37,C7_1,F
38,C7_1,agF
39,C7_2,F
40,C7_2,agF
41,E9_1,A
42,E9_1,agA
43,E9_2,A
44,E9_2,agA
45,F9_1,Bb
46,F9_1,agBb
47,F9_2,Bb
48,F9_2,agBb
49,G9_1,C
50,G9_1,agC
51,G9_2,C
52,G9_2,agC
53,A9_1,D
54,A9_1,agD
55,A9_2,D
56,A9_2,agD
57,C9_1,F
58,C9_1,agF
59,C9_2,F
60,C9_2,agF
61,E11_1,A
62,E11_1,agA
63,E11_2,A
64,E11_2,agA
65,F11_1,Bb
66,F11_1,agBb
67,F11_2,Bb
68,F11_2,agBb
69,G11_1,C
70,G11_1,agC
71,G11_2,C
72,G11_2,agC
73,A11_1,D
74,A11_1,agD
75,A11_2,D
76,A11_2,agD
77,C11_1,F
78,C11_1,agF
79,C11_2,F
80,C11_2,agF
81,E13_1,A
82,E13_1,agA
83,E13_2,A
84,E13_2,agA
85,F13_1,Bb
86,F13_1,agBb
87,F13_2,Bb
88,F13_2,agBb
89,G13_1,C
90,G13_1,agC
91,G13_2,C
92,G13_2,agC
93,A13_1,D
94,A13_1,agD
95,A13_2,D
96,A13_2,agD
97,C13_1,F
98,C13_1,agF
99,C13_2,F
100,C13_2,agF
